RELIANCE,TCS,HINDUNILVR,HDFCBANK,HDFC,INFY,KOTAKBANK,BHARTIARTL,ITC,ICICIBANK,SBIN,ASIANPAINT,DMART,BAJFINANCE,MARUTI,HCLTECH,LT,WIPRO,AXISBANK,ULTRACEMCO,HDFCLIFE,COALINDIA,ONGC,SUNPHARMA,NTPC,POWERGRID,TITAN,DABUR,IOC,BAJAJFINSV,PIDILITIND,BPCL,HINDZINC,BRITANNIA,SBILIFE,SHREECEM,BAJAJ-AUTO,SBICARD,TECHM,GODREJCP,DIVISLAB,DRREDDY,ICICIPRULI,ADANIPORTS,ICICIGI,BERGEPAINT,HDFCAMC,GSKCONS,INDIGO,SIEMENS,EICHERMOT,MARICO,M&M,JSWSTEEL,MCDOWELL-N,GAIL,CIPLA,COLPAL,DLF,TORNTPHARM,PGHH,BANDHANBNK,BIOCON,HEROMOTOCO,GRASIM,AMBUJACEM,TATASTEEL,HAVELLS,PETRONET,INFRATEL,HINDPETRO,YESBANK,ALKEM,BOSCHLTD,CADILAHC,IGL,LUPIN,UPL,NAUKRI,LTI,BANKBARODA,MRF,MUTHOOTFIN,NMDC,INDUSINDBK,UBL,PFC,AUROPHARMA,VEDL,ADANIGREEN,WHIRLPOOL,HONAUT,TATAMOTORS,PNB,HINDALCO,GLAXO,3MINDIA,PEL,KANSAINER,ADANITRANS,Sensex
2376.69,3537.16,2137.12,1372.96,2285.82,1703.13,1793.63,672.92,214.93,713.82,473.1,3035.18,4358.35,6832.12,7918.44,1114.89,1788.62,554.96,738.43,6401.57,525.44,180.8,164.94,826.04,132.03,209.96,2579.86,563.97,113.5,15844.2,2374.04,346.32,341.73,3388.93,1101.81,23904.02,3387.38,770.57,1398.08,752.89,4207.77,3911.81,486.09,709.26,1246.86,675.56,2086.87,,1824.48,2365.11,2532.36,510.25,786.46,642.76,881.75,151.83,922.05,1440.85,345.14,2768.43,15462.54,295.16,347.2,2450.7,1554.13,305.76,1280.64,1153.39,215.44,,271.85,12.95,3261.66,15593.57,,343.32,731.68,684.64,4530.87,5836.98,103.46,66037.71,1379.23,149.38,899.8,1480.15,109.81,619.44,390.17,1860.27,1665.52,40621.23,449.27,35.01,601.25,1531.25,21006.28,2086.0,443.58,2232.09,2004.89
2392.27,3553.27,2112.31,1377.34,2280.23,1722.78,1792.05,672.86,218.52,705.85,470.45,2913.77,4309.28,6822.47,7701.54,1141.11,1770.66,571.02,740.74,6145.2,542.25,191.31,166.42,824.46,131.73,216.31,2601.27,565.92,114.88,15894.61,2351.4,346.96,353.76,3393.51,1096.17,23300.66,3319.32,765.73,1430.04,737.12,4172.53,3771.57,473.11,709.72,1252.3,666.46,2111.31,,1749.44,2399.36,2459.7,512.75,773.41,654.98,877.13,157.22,936.4,1444.69,343.3,2803.53,15587.01,289.75,343.38,2431.25,1530.82,295.61,1309.97,1113.81,215.82,,279.45,13.03,3246.59,15369.01,,341.75,724.65,701.22,4625.4,5973.31,103.44,66127.82,1431.25,153.56,914.84,1421.46,110.71,621.42,391.81,1957.71,1655.78,40660.94,443.17,35.35,604.78,1530.52,21033.58,2088.69,438.1,2349.9,2077.82
2338.2,3525.56,2009.04,1359.66,2233.38,1714.49,1758.11,657.18,222.66,693.72,464.01,2728.62,4166.16,6579.07,7261.25,1141.58,1718.56,569.46,718.91,6004.28,522.34,184.96,166.42,828.01,131.21,214.31,2496.24,548.25,113.5,15426.71,2267.99,346.65,334.49,3333.19,1062.01,22500.99,3242.46,739.93,1442.73,720.09,4110.96,3775.0,453.93,699.98,1223.49,652.12,2072.18,,1690.06,2315.42,2343.15,502.25,740.02,643.58,840.98,157.43,933.84,1436.17,331.11,2773.91,15032.47,274.32,331.64,2328.15,1477.13,289.93,1297.98,1078.17,213.82,,282.02,12.93,3223.0,14859.84,,331.84,709.58,724.01,4398.26,6131.34,101.57,65723.82,1385.85,150.99,904.26,1338.92,109.11,611.5,385.56,1910.3,1638.16,39464.28,423.93,34.86,601.75,1501.23,20455.65,2047.39,436.08,2363.03,2101.41
2256.84,3491.46,1951.43,1314.7,2127.95,1734.13,1704.8,665.01,223.87,653.29,439.85,2663.47,4055.87,6209.68,6821.03,1143.22,1627.93,573.14,671.06,5755.44,504.89,186.51,180.36,820.45,128.89,212.37,2378.38,512.86,112.47,14527.58,2170.44,338.95,323.3,3203.41,1031.63,21945.79,3186.72,726.03,1437.15,674.53,4031.08,3750.85,445.72,675.57,1207.22,631.65,2025.57,,1619.64,2233.41,2241.52,484.21,693.23,631.74,784.32,160.46,934.28,1399.42,312.49,2715.41,14316.71,256.17,326.54,2202.79,1448.19,282.51,1279.85,1052.89,216.07,,276.48,12.68,3220.93,14248.95,,334.22,692.56,719.12,4289.56,6144.4,93.66,65506.33,1353.24,150.68,847.15,1299.56,105.81,600.7,382.23,1823.18,1604.88,39059.84,394.41,34.05,607.83,1505.75,19977.89,1914.94,426.51,2248.15,2050.69
2220.15,3570.91,1926.8,1305.18,2101.3,1771.93,1698.66,679.19,226.27,654.86,434.44,2675.67,4055.05,6073.8,6646.61,1170.63,1627.79,580.96,655.68,5739.79,504.92,189.21,183.28,842.1,133.39,215.71,2372.8,514.08,114.49,14283.98,2166.03,338.46,325.17,3096.69,1019.8,22124.16,3244.04,762.99,1455.67,689.05,4119.83,3818.26,439.06,683.05,1219.51,630.91,2074.39,,1586.45,2227.8,2215.43,484.67,689.71,625.04,777.58,158.66,961.55,1407.76,319.07,2728.46,14003.51,255.23,335.23,2189.77,1438.93,279.72,1263.11,1060.6,220.07,,269.34,12.74,3249.78,14361.46,,365.4,704.41,722.29,4328.5,6360.89,94.57,66121.23,1356.06,151.9,830.38,1318.18,107.09,620.97,381.03,1808.66,1574.29,39232.58,387.74,34.56,598.74,1492.32,19893.82,1909.33,427.95,2210.88,2108.53
2316.35,3631.79,1987.37,1347.62,2180.0,1818.64,1712.61,690.95,228.8,665.91,445.45,2775.7,4133.17,6312.35,6918.36,1187.04,1679.88,591.12,669.8,5949.66,515.72,188.26,177.98,874.55,131.79,208.64,2418.17,523.96,116.83,14808.42,2206.14,342.23,319.55,3124.69,1028.22,22000.49,3327.17,786.03,1500.35,700.37,4236.57,3949.86,450.66,708.34,1227.05,648.05,2123.61,,1710.01,2267.26,2270.85,493.58,724.03,626.11,808.06,154.98,979.44,1447.73,335.57,2783.03,14376.7,263.96,336.97,2267.47,1490.55,286.75,1260.29,1095.0,214.98,,270.13,12.79,3319.88,14270.19,,371.06,732.03,722.69,4507.8,6445.49,98.02,66505.62,1419.84,153.38,857.55,1373.59,110.21,631.77,370.63,1832.27,1576.55,39950.18,399.37,35.28,589.95,1535.45,19930.32,1988.79,436.47,2226.69,2181.68
2386.79,3639.93,2090.55,1404.82,2249.72,1823.68,1774.88,700.04,230.14,689.69,469.95,2949.92,4179.59,6657.93,7270.31,1186.24,1733.58,589.55,704.02,6145.33,523.55,179.14,172.52,871.81,133.4,208.98,2473.18,539.94,120.31,15606.58,2327.8,349.85,315.03,3190.03,1046.33,22289.87,3412.31,807.79,1494.38,721.27,4303.29,3916.32,463.21,730.32,1269.01,680.68,2160.97,,1797.92,2316.1,2334.0,501.29,748.51,640.92,848.17,148.39,985.08,1487.46,355.45,2777.34,15357.69,274.01,334.76,2338.6,1558.32,296.11,1280.13,1121.74,209.6,,281.65,12.9,3304.92,14454.42,,381.44,742.44,731.48,4639.47,6301.22,103.28,66944.54,1410.63,152.03,911.03,1414.44,112.07,632.87,372.09,1889.93,1615.49,40406.56,426.4,36.3,582.8,1544.39,20363.1,2035.74,452.95,2259.08,2472.8
2396.11,3615.45,2090.45,1396.47,2233.07,1822.73,1761.78,696.36,234.51,677.53,470.21,2919.67,4172.26,6614.52,7118.54,1194.47,1726.73,586.57,696.85,6039.22,518.88,181.22,174.23,894.57,132.12,210.65,2477.31,546.75,122.28,15588.22,2327.06,356.29,312.4,3214.54,1058.37,22262.4,3421.96,805.58,1484.98,704.85,4313.25,3956.77,460.97,727.9,1254.12,677.72,2157.85,,1818.59,2344.24,2286.79,505.91,733.94,665.6,849.66,151.87,1023.44,1501.35,353.55,2810.24,15304.17,262.62,331.96,2328.0,1562.96,292.42,1316.2,1098.29,207.86,,288.94,12.8,3339.64,14225.27,,382.0,747.57,722.92,4586.14,6204.31,103.46,67414.85,1387.73,156.7,904.01,1421.68,112.33,639.29,380.59,1877.71,1580.57,40170.27,413.88,36.14,594.0,1552.21,19961.97,2016.46,451.59,2270.52,2776.67
2401.52,3620.43,2060.41,1433.68,2254.42,1872.1,1768.54,699.75,237.88,691.15,480.43,2954.17,4171.89,6582.43,7186.66,1200.58,1737.41,596.3,701.81,6022.66,512.39,179.91,172.26,899.98,131.54,211.91,2511.13,537.53,121.18,15604.89,2347.71,357.13,310.96,3176.35,1059.06,22203.8,3419.73,813.54,1500.9,707.46,4378.09,3960.49,459.81,729.75,1246.83,670.62,2144.52,,1827.33,2363.14,2279.0,507.07,734.96,664.86,856.35,152.54,1046.67,1509.28,345.72,2820.07,15207.81,264.28,328.02,2322.05,1569.21,291.61,1293.34,1090.63,205.73,,281.94,12.72,3381.0,14007.09,,389.05,745.38,729.36,4547.6,6269.87,105.51,67971.92,1351.06,156.81,902.55,1443.86,111.46,634.36,375.27,1832.89,1556.4,40237.8,409.95,36.29,585.83,1554.68,19605.36,2034.34,448.92,2273.01,2915.43
2386.09,3627.9,2052.12,1435.02,2273.32,1852.89,1748.01,703.6,238.48,699.51,485.62,2992.99,4204.38,6677.97,7492.9,1188.64,1747.43,593.02,706.29,6102.4,511.2,175.19,164.13,892.19,131.56,210.31,2557.78,552.95,119.47,15754.42,2377.46,353.89,308.34,3221.85,1071.49,22596.96,3461.34,819.96,1479.87,728.05,4418.2,3930.5,462.66,728.37,1231.84,693.07,2146.93,,1852.15,2326.45,2319.61,510.61,760.62,645.57,858.22,148.8,1068.56,1524.92,345.37,2889.0,15386.31,282.4,331.4,2342.8,1578.1,297.23,1251.97,1095.28,202.99,,276.78,12.75,3383.14,14068.12,,389.13,746.06,739.61,4459.36,6098.86,107.11,68341.04,1352.55,149.91,906.94,1437.73,111.8,630.46,362.4,1806.36,1559.96,40212.06,416.5,36.58,565.04,1571.79,19755.57,2111.25,455.59,2244.89,2922.11
2396.17,3640.94,2047.26,1446.5,2295.62,1874.83,1763.79,709.69,240.65,706.68,492.21,3032.39,4189.33,6829.54,7497.48,1192.73,1757.12,596.28,721.66,6214.45,515.08,175.6,165.38,887.33,132.28,209.77,2582.49,562.46,120.58,16101.37,2442.42,354.0,310.42,3277.0,1085.59,23316.61,3532.62,833.23,1481.23,735.89,4410.5,3924.46,465.85,724.45,1230.38,702.77,2195.2,,1895.43,2356.7,2354.96,522.31,772.02,654.78,879.6,150.94,1056.28,1517.53,351.97,2850.88,15283.45,289.1,328.92,2354.49,1600.25,304.37,1258.54,1125.5,202.8,,275.76,12.79,3404.0,14105.33,,388.29,745.47,750.06,4465.28,6048.4,107.81,68453.17,1336.67,150.36,926.54,1465.37,112.26,631.24,369.65,1830.52,1585.01,40066.51,424.01,35.98,569.64,1553.72,19627.59,2138.51,454.39,2281.72,2980.28
2456.66,3685.79,2098.61,1482.21,2397.65,1869.74,1814.76,723.45,244.3,720.5,501.29,3136.49,4199.26,6999.08,7665.99,1197.56,1789.5,605.0,741.29,6420.04,526.31,177.22,168.9,904.89,132.94,210.21,2690.83,561.03,121.09,16429.7,2515.02,362.78,310.64,3334.03,1120.13,24140.02,3642.53,850.28,1498.22,753.8,4484.51,4017.1,486.35,738.79,1237.19,717.61,2240.26,,1899.77,2382.22,2433.37,524.58,790.0,682.58,909.15,151.78,1051.92,1532.8,362.24,2910.67,15489.02,299.6,331.6,2408.91,1630.22,309.79,1297.78,1161.59,205.26,,281.05,12.94,3442.3,14521.97,,393.96,764.24,759.89,4601.37,6114.05,108.71,69253.03,1342.66,151.36,941.35,1474.49,115.59,643.92,378.2,1879.59,1655.39,39685.04,433.11,36.1,578.66,1576.35,20059.32,2249.53,470.14,2372.08,2890.4
2465.17,3650.28,2066.15,1484.44,2407.8,1858.7,1786.61,714.53,245.28,712.37,493.32,3073.28,4129.46,6920.21,7841.59,1184.45,1765.91,606.59,730.84,6263.26,526.77,182.49,173.22,922.76,132.46,207.56,2733.75,552.64,119.14,16250.74,2501.31,360.68,312.47,3275.05,1109.99,23627.97,3654.16,843.99,1497.61,727.06,4483.77,4036.8,486.45,738.78,1250.95,700.1,2195.36,,1850.71,2361.58,2397.51,511.36,784.56,689.69,916.01,145.62,1057.97,1521.87,359.57,2797.32,15577.02,295.55,332.3,2414.82,1581.21,302.31,1318.78,1150.89,198.11,,275.95,13.14,3485.27,14419.16,,379.66,765.72,772.31,4699.64,6059.82,106.93,67919.94,1349.33,152.66,918.96,1461.69,115.62,676.05,397.77,1890.93,1649.4,39458.09,430.44,35.86,594.14,1585.95,19967.92,2282.17,471.39,2301.72,952.72
2508.41,3674.13,1989.54,1478.67,2381.46,1873.62,1778.54,714.25,247.49,710.64,486.29,3017.34,4057.69,6893.67,7686.4,1173.35,1746.78,604.33,718.46,6140.07,523.62,183.34,177.7,913.36,132.78,207.59,2686.88,535.69,120.25,16262.71,2436.36,364.17,313.44,3161.71,1088.46,23308.06,3611.89,834.55,1513.32,698.18,4451.68,3991.12,479.47,733.94,1241.18,689.2,2149.24,,1801.93,2300.89,2368.1,492.05,775.74,689.93,903.34,144.17,1033.05,1496.94,352.04,2743.52,15490.75,290.73,332.55,2391.53,1560.01,300.04,1308.02,1115.65,194.27,,281.11,12.85,3543.95,14145.92,,371.52,757.9,779.99,4721.19,6082.27,105.55,66686.18,1356.15,152.7,916.58,1426.93,115.57,684.37,408.41,1879.02,1596.9,39307.88,432.31,35.47,594.65,1564.37,19828.21,2198.38,460.2,2327.96,951.96
2546.52,3708.22,1989.27,1481.7,2375.4,1878.22,1790.54,706.42,251.88,720.32,495.13,3026.53,4090.41,7032.44,7683.62,1181.77,1771.67,610.96,731.77,6247.05,529.15,181.46,176.05,914.23,133.1,209.49,2705.7,527.7,121.41,16521.63,2431.32,367.77,312.47,3114.97,1095.73,23474.74,3623.16,861.08,1546.62,695.04,4542.42,4147.67,482.29,740.43,1260.37,688.62,2217.51,,1827.12,2282.13,2393.02,487.26,779.12,702.86,912.28,144.65,1026.04,1527.8,361.28,2835.83,15327.45,305.36,338.78,2381.81,1580.39,298.83,1321.71,1146.07,194.72,,285.01,12.86,3643.97,14267.82,,377.74,756.87,787.49,4680.77,6118.7,107.32,67118.77,1347.14,151.22,934.37,1432.98,116.23,695.3,405.46,1914.52,1641.89,39165.58,439.74,35.94,604.86,1566.41,20366.6,2215.3,459.18,2407.05,957.83
2557.8,3741.33,1972.86,1449.15,2326.46,1883.95,1712.21,704.7,254.29,705.87,489.44,3008.92,4053.96,6985.54,7592.16,1185.76,1768.34,610.7,723.63,6318.87,523.4,187.06,177.79,904.61,134.93,210.14,2636.34,526.34,121.17,16411.71,2425.35,364.35,314.36,3111.33,1090.38,23369.62,3603.26,850.5,1558.79,696.79,4514.87,4283.58,480.39,736.05,1243.95,684.75,2189.81,,1850.56,2287.42,2370.39,481.41,770.18,714.18,908.83,146.68,1023.11,1517.92,356.6,2842.35,15133.08,298.34,340.87,2402.01,1592.66,297.53,1348.57,1142.82,196.83,,276.05,12.8,3622.45,14160.12,,376.42,769.24,796.43,4560.2,6125.4,106.57,66983.8,1346.0,156.11,927.98,1455.35,116.14,713.16,412.73,1907.55,1633.43,38923.09,432.4,35.7,621.74,1557.3,20024.78,2237.45,457.45,2404.14,936.21
2596.66,3716.53,1955.28,1430.95,2300.8,1874.13,1723.04,709.95,252.48,700.66,490.04,3018.28,4012.07,6991.83,7435.39,1185.74,1754.24,605.05,719.96,6339.43,522.21,186.75,177.0,903.05,134.9,208.72,2542.6,521.92,119.31,16356.79,2443.09,360.39,312.01,3091.16,1092.49,23275.84,3639.25,853.76,1544.17,687.58,4459.96,4334.52,488.33,738.23,1259.79,684.74,2170.34,,1935.21,2283.18,2348.28,477.81,764.48,719.64,893.6,147.57,1013.59,1510.8,362.07,2761.61,14836.07,301.3,347.65,2395.34,1593.33,297.05,1350.11,1145.15,196.38,,273.73,12.75,3611.91,14134.39,,370.36,760.03,805.24,4537.21,6167.05,108.08,66500.02,1294.08,158.63,925.18,1445.87,115.54,718.69,411.64,1914.46,1605.34,38550.12,432.99,35.58,623.55,1552.02,20043.2,2220.82,455.38,2433.39,905.39
2611.69,3689.86,1955.11,1417.35,2260.81,1867.81,1710.71,722.55,255.73,705.39,491.67,3023.02,4003.31,6958.49,7470.94,1165.1,1739.14,601.36,727.14,6326.38,511.91,190.96,176.39,904.47,134.63,209.99,2513.34,514.81,119.38,16363.47,2407.01,359.75,310.58,3084.89,1079.52,23105.76,3701.78,849.3,1524.36,679.31,4410.26,4278.19,475.1,735.0,1256.77,680.0,2103.75,,1966.96,2263.12,2354.68,473.27,761.65,726.41,876.31,152.12,1021.72,1515.69,361.95,2718.58,14523.93,299.31,344.4,2373.46,1593.01,291.7,1341.72,1127.46,192.86,,268.13,12.61,3620.72,13993.59,,365.16,755.04,783.7,4404.63,6044.59,110.02,65489.35,1293.34,160.26,932.47,1425.86,113.86,714.35,413.35,1917.89,1568.97,38136.95,431.2,35.33,628.11,1537.3,19598.56,2185.52,447.27,2441.12,897.5
2623.0,3707.08,1984.93,1442.08,2318.03,1875.61,1731.66,751.53,255.06,712.64,496.03,3052.13,4003.69,7023.87,7492.26,1168.94,1740.81,602.19,736.28,6506.23,520.17,186.9,171.99,913.69,134.45,211.94,2541.94,517.03,119.39,16516.5,2406.81,359.97,309.17,3107.72,1098.0,23590.97,3696.41,850.18,1525.27,693.55,4537.92,4316.46,492.03,754.87,1276.66,691.63,2099.82,,1986.27,2292.81,2428.07,480.41,774.53,744.65,868.24,152.12,1033.24,1523.44,370.1,2787.27,14634.29,295.26,345.06,2259.17,1619.29,300.47,1335.58,1148.86,193.42,,268.3,12.57,3636.48,14135.6,,370.89,760.07,783.71,4482.68,6036.47,111.8,65888.29,1297.84,159.81,929.93,1414.29,112.72,692.45,411.13,1921.74,1574.51,38658.23,435.02,35.27,629.23,1650.46,19546.4,2194.06,448.98,2465.1,897.77
2661.36,3723.34,2009.75,1468.52,2375.78,1906.67,1753.54,756.69,251.58,727.15,496.58,3077.9,4020.02,7221.88,7587.36,1172.1,1767.48,604.1,753.77,6632.73,535.93,184.8,162.6,917.08,134.99,216.2,2536.83,524.25,117.24,17019.38,2426.23,360.58,311.08,3143.08,1117.5,24040.47,3698.48,871.19,1495.77,718.93,4580.64,4336.41,498.31,769.15,1311.71,692.77,2144.11,,1988.69,2326.53,2483.11,488.5,789.62,728.13,872.95,153.11,1037.63,1528.49,381.85,2807.81,14135.3,302.91,343.4,2262.29,1661.44,302.63,1308.4,1153.52,196.27,,266.1,12.34,3626.38,14390.78,,372.68,755.39,779.2,4592.9,6221.06,113.82,65488.76,1306.2,158.59,931.78,1426.61,112.44,679.24,400.4,1937.9,1580.89,39688.28,439.04,35.16,605.56,1670.09,19679.22,2218.3,450.98,2439.65,926.73
2642.0,3743.43,2038.92,1473.98,2401.07,1904.15,1761.76,748.4,251.19,732.05,494.45,3098.04,4013.45,7319.35,7576.32,1165.74,1767.17,594.86,758.27,6625.43,541.14,183.15,163.55,917.19,135.06,215.97,2534.2,535.02,119.56,17135.3,2458.39,360.85,311.66,3191.38,1121.24,24054.75,3665.19,857.02,1500.82,742.78,4451.56,4335.85,499.79,774.64,1337.5,698.65,2170.21,,2007.37,2351.84,2462.65,501.43,807.51,730.66,885.5,155.34,1018.46,1541.35,381.89,2794.26,14383.4,305.42,338.04,2298.57,1662.97,300.64,1311.19,1153.35,194.52,,269.97,12.34,3621.7,14407.03,,376.67,746.18,769.92,4564.01,6227.99,112.36,65196.12,1321.03,162.37,932.62,1474.78,112.87,672.4,405.1,1906.02,1572.98,39657.84,435.36,35.12,576.51,1669.61,19662.67,2193.61,469.82,2367.88,946.63
